iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
GRD,Grenada,113237.00,112523.00,344 sq_km,329/sq_km,0.44%,0.00%,194
ABW,Aruba,107204.00,106766.00,180 sq_km,596/sq_km,0.41%,0.00%,196
TON,Tonga,107407.00,105695.00,747 sq_km,143/sq_km,1.01%,0.00%,197
VIR,United States Virgin Islands,104010.00,104425.00,347 sq_km,300/sq_km,-0.19%,0.00%,198
SYC,Seychelles,99124.00,98347.00,452 sq_km,219/sq_km,0.57%,0.00%,199
ATG,Antigua And Barbuda,99162.00,97929.00,442 sq_km,223/sq_km,0.82%,0.00%,200
AND,Andorra,77355.00,77265.00,468 sq_km,165/sq_km,0.12%,0.00%,202
DMA,Dominica,72167.00,71986.00,751 sq_km,96/sq_km,0.25%,0.00%,203
CYM,Cayman Islands,66497.00,65722.00,264 sq_km,252/sq_km,1.18%,0.00%,204
BMU,Bermuda,62090.00,62278.00,54 sq_km,"1,150/sq_km",-0.30%,0.00%,205
MHL,Marshall Islands,59610.00,59190.00,181 sq_km,329/sq_km,0.71%,0.00%,206
MNP,Northern Mariana Islands,57917.00,57559.00,464 sq_km,125/sq_km,0.62%,0.00%,207
GRL,Greenland,56877.00,56770.00,"2,166,086 sq_km",0/sq_km,0.19%,0.00%,208
ASM,American Samoa,55100.00,55191.00,199 sq_km,277/sq_km,-0.16%,0.00%,209
KNA,Saint Kitts And Nevis,53544.00,53199.00,261 sq_km,205/sq_km,0.65%,0.00%,210
FRO,Faroe Islands,49049.00,48863.00,"1,393 sq_km",35/sq_km,0.38%,0.00%,211
MAF,Sint Maarten,43412.00,42876.00,34 sq_km,"1,277/sq_km",1.25%,0.00%,212
MCO,Monaco,39511.00,39242.00,2 sq_km,"19,756/sq_km",0.69%,0.00%,213
MAF,Saint Martin,39234.00,38666.00,53 sq_km,740/sq_km,1.47%,0.00%,214
TCA,Turks And Caicos Islands,39231.00,38717.00,948 sq_km,41/sq_km,1.33%,0.00%,215
LIE,Liechtenstein,38250.00,38128.00,160 sq_km,239/sq_km,0.32%,0.00%,216
SMR,San Marino,34017.00,33931.00,61 sq_km,558/sq_km,0.25%,0.00%,217
GIB,Gibraltar,33698.00,33691.00,6 sq_km,"5,616/sq_km",0.02%,0.00%,218
PLW,Palau,18169.00,18094.00,459 sq_km,40/sq_km,0.41%,0.00%,220
COK,Cook Islands,17565.00,17564.00,236 sq_km,74/sq_km,0.01%,0.00%,221
AIA,Anguilla,15117.00,15003.00,91 sq_km,166/sq_km,0.76%,0.00%,222
TUV,Tuvalu,11931.00,11792.00,26 sq_km,459/sq_km,1.18%,0.00%,223
WLF,Wallis And Futuna,11094.00,11239.00,142 sq_km,78/sq_km,-1.29%,0.00%,224
NRU,Nauru,10876.00,10824.00,21 sq_km,518/sq_km,0.48%,0.00%,225
BL,Saint Barthelemy,9907.00,9877.00,21 sq_km,472/sq_km,0.30%,0.00%,226
SPM,Saint Pierre And Miquelon,5766.00,5794.00,242 sq_km,24/sq_km,-0.48%,0.00%,227
MSR,Montserrat,4977.00,4992.00,102 sq_km,49/sq_km,-0.30%,0.00%,228
FLK,Falkland Islands,3533.00,3480.00,"12,173 sq_km",0/sq_km,1.52%,0.00%,229
NIU,Niue,1619.00,1626.00,260 sq_km,6/sq_km,-0.43%,0.00%,230
TKL,Tokelau,1373.00,1357.00,12 sq_km,114/sq_km,1.18%,0.00%,231
VAT,Vatican City,800.00,801.00,1 sq_km,800/sq_km,-0.12%,0.00%,232
